property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
MAIDEN COURT BLOCK B,North Point Mid-Levels,3,9800000,44,713,FALSE,22.2864717,114.1972149,29,13,580,6,170,87,8,5,73,31,7
KA FU BUILDING,Mid-Levels West,3,13600000,37,783,FALSE,22.284602,114.1426555,13,4,650,8,146,79,28,8,59,25,9
Lohas Park PHASE 4B WINGS AT SEA II Tower 3A,Lohas Park,2,8800000,6,540,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
GRAND AUSTIN TOWER 5,Kowloon Station,3,20000000,10,875,TRUE,22.3043626,114.1671769,24,3,1184,5,152,52,25,5,127,67,3
The Grandiose Block 3,Tseung Kwan O,1,7500000,19,453,FALSE,22.3090272,114.2616214,44,6,402,6,200,42,10,6,36,29,0
RESIDENCE BEL-AIR Phase 1 Tower 1,Residence Bel-air,2,22000000,21,858,FALSE,22.2585399,114.1325804,35,82,200,1,59,20,6,1,13,18,0
The Victoria Towers Tower 3,Tsim Sha Tsui,3,38000000,23,894,FALSE,22.3026096,114.1688331,20,8,1538,5,144,53,25,5,107,89,3
Cullinan West PHASE 2A Tower 2B,Nam Cheong Station,1,7500000,7,357,FALSE,22.3272319,114.1541141,21,5,578,8,276,54,25,6,183,38,5
SOUTH HORIZONS Phase 4 The Oasis Dover Court (Block 25),South Horizons,4,9800000,30,736,FALSE,22.2437599,114.1493422,28,3,426,9,101,46,10,8,43,32,1
MANHATTAN HEIGHTS,Kennedy Town,1,9880000,25,434,FALSE,22.283611,114.127306,19,7,310,6,106,47,21,4,37,16,1
No. 3 Julia Avenue,Ho Man Tin,2,11000000,10,656,TRUE,22.31995,114.1751238,26,9,1180,8,468,90,54,6,263,58,8
THE AUSTIN Tower 1,Kowloon Station,3,28000000,11,967,TRUE,22.3055047,114.1674708,20,6,1072,5,173,60,28,5,137,65,4
Karin Court,Ho Man Tin,3,9600000,50,783,FALSE,22.318507,114.1755339,26,13,1200,10,470,108,54,6,257,57,9
TSUEN CHEONG CENTRE CHEONG ON BUILDING,Tsuen Wan Town Centre,2,4500000,37,368,FALSE,22.3713151,114.1200839,41,5,802,15,213,92,23,8,128,45,0
PICTORIAL GARDEN PHASE 3 Iris Court (Tower 2),Shek Mun,3,7300000,32,770,FALSE,22.3961311,114.2092623,63,51,183,1,93,11,11,0,34,21,0
The Harmonie,Cheung Sha Wan,2,6500000,2,323,FALSE,22.3365757,114.1584541,26,6,861,15,296,76,23,8,169,43,5
Trinity Towers Tower 2,Sham Shui Po,3,8000000,10,601,TRUE,22.3290453,114.1591931,28,8,930,14,346,87,27,11,202,38,6
ONE INNOVALE PHASE 2 TOWER C,Fanling,2,6200000,2,446,FALSE,22.5006911,114.1455537,82,32,269,5,127,39,20,2,38,8,2
