property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
LAKE SILVER Tower 5,Wu Kai Sha,2,7600000,16,573,TRUE,22.4289214,114.24439,56,1,114,2,51,5,4,1,16,11,0
TSUEN KING GARDEN PHASE 2 BLOCK 8,Tsuen King Circuit,3,5800000,37,577,FALSE,22.3781127,114.1100626,51,15,393,4,128,39,13,3,95,19,0
BELVEDERE GARDEN PHASE 1 BLOCK 3,Belvedere,3,5400000,38,644,FALSE,22.3726332,114.1019139,45,20,237,2,122,25,13,3,64,15,0
MARBELLA BLOCK 1 (TOWER A),Ma On Shan,3,7300000,24,737,TRUE,22.4276756,114.2402751,68,8,190,2,75,15,4,2,27,23,0
LOHAS PARK PHASE 10 LP10 Tower 1 (1A),Lohas Park,3,15000000,3,921,FALSE,22.292477,114.267387,51,15,69,2,44,7,0,0,1,7,0
Tseung Kwan O Plaza Phase 1 Tower 3,Tseung Kwan O,2,5720000,22,429,FALSE,22.3091002,114.2617775,44,6,404,6,200,43,10,6,36,28,0
Indi Home,Tsuen Wan West,2,5900000,20,435,TRUE,22.3663202,114.1181562,42,17,843,16,250,93,27,5,129,63,0
LOHAS PARK Phase 5A Malibu TOWER 3B,Lohas Park,1,4580000,6,368,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
THE PAVILIA FARM PHASE 2 Tower 6 (6A),Tai Wai,2,9500000,3,488,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
THE GRANDVILLE Tower B,Fo Tan,2,7800000,19,602,TRUE,22.4012661,114.1942141,55,20,170,1,60,16,5,4,31,24,0
OCEAN PRIDE Phase 3A Ocean Supreme TOWER 3A,Tsuen Wan West,3,17000000,6,820,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
Discovery Park PHASE 3 Block 12,Discovery Park,3,7100000,27,652,FALSE,22.3753271,114.1124452,45,9,667,6,166,70,14,5,104,56,0
MANTIN HEIGHTS TOWER 10,Ho Man Tin,2,9800000,8,583,TRUE,22.3173116,114.1821273,35,17,713,12,419,99,48,5,225,24,6
The Pavilia Bay Tower 2B,Tsuen Wan West,1,6300000,7,392,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
VILLA ESPLANADA PHASE 2 Block 7,Tsing Yi,3,13800000,26,850,FALSE,22.361958,114.106534,35,12,476,6,196,71,23,3,74,41,0
VILLA ESPLANADA PHASE 1 Block 2,Tsing Yi,3,8350000,27,674,FALSE,22.3618472,114.1064042,35,12,471,6,192,73,23,3,73,41,0
GARTIN COURT,Ho Man Tin,3,9990000,61,870,FALSE,22.3165654,114.1747054,25,10,1274,12,440,111,49,6,249,56,8
BELVEDERE GARDEN PHASE 2 BLOCK 1,Belvedere,3,6880000,35,668,FALSE,22.3715791,114.1005017,48,21,187,3,123,18,15,2,50,11,0
NEW KWAI FONG GARDENS Block E,Ha Kwai Chung,2,5300000,42,418,FALSE,22.3574317,114.1288033,34,6,582,5,194,68,30,7,89,49,0
PING YAN COURT Block A (Ping Oi House),Tin Shui Wai,2,3200000,6,376,FALSE,22.4455411,114.0034577,65,7,284,5,147,38,4,3,33,22,3
GRAND YOHO Phase 1 Tower 1,Yuen Long Station,2,7200000,8,498,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
TIN FU COURT Nang Fu House (Block M),Tin Shui Wai,2,2980000,24,506,FALSE,22.4653,114.000112,71,34,407,8,154,47,6,5,27,23,3
YUE MAN CENTRE Block 3,Kwun Tong,3,5900000,38,588,FALSE,22.3143039,114.2229807,47,10,717,12,199,90,28,7,90,63,0
LAGUNA CITY PHASE 4 Block 11,Lam Tin,2,5780000,30,517,FALSE,22.3080199,114.2375638,55,18,446,13,216,67,19,3,70,35,0
PARK ISLAND Phase 3 Block 19,Ma Wan,2,5500000,20,552,FALSE,22.3532151,114.0614369,50,91,103,0,10,11,0,0,7,3,2
LE PONT TOWER 2B,So Kwun Wat,3,6800000,5,737,TRUE,22.372788,114.0035652,66,78,66,0,13,2,0,0,6,7,1
Kam Wah Garden Block B,Tuen Mun Town Centre,1,3480000,38,348,FALSE,22.3938184,113.9757099,61,6,562,10,176,62,20,7,98,37,0
Monte Vista Block 12,Wu Kai Sha,3,7800000,25,765,FALSE,22.4274559,114.2442982,62,6,126,2,58,6,4,2,18,11,0
THE PAVILIA FARM PHASE 1 TOWER 2 (2A),Tai Wai,3,16500000,3,754,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
THE PAVILIA FARM Phase 1 TOWER 3 (3A),Tai Wai,1,7380000,3,358,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
MANTIN HEIGHTS TOWER 2,Ho Man Tin,3,16650000,8,917,TRUE,22.31975,114.18182,32,12,722,12,436,90,56,5,226,22,5
YOHO TOWN PHASE 2 YOHO MIDTOWN Block M1,Yuen Long Station,2,7500000,15,482,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
LUK YEUNG SUN CHUEN BLOCK J,Luk Yeung,2,5600000,42,445,FALSE,22.3728399,114.1211668,42,8,772,14,203,89,26,8,129,42,0
CARIBBEAN COAST PHASE 4 CRYSTAL COVE TOWER 15,Tung Chung Town Centre,3,9300000,19,928,FALSE,22.291393,113.948117,68,25,193,2,53,13,8,4,7,14,1
The Pavilia Bay Tower 2B,Tsuen Wan West,3,13000000,7,766,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
The Pavilia Farm Phase 2 Tower 5 (5A),Tai Wai,3,14500000,3,679,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
Luk Yeung Sun Chuen Block B,Luk Yeung,3,6500000,41,582,FALSE,22.37374,114.1195424,39,5,795,15,199,83,23,7,124,45,0
PARC OASIS TOWER 7 (1 PARC OASIS RD),Yau Yat Tsuen,2,8600000,32,522,FALSE,22.3329095,114.1747073,35,10,712,8,437,99,46,6,242,31,7
OCEAN PRIDE PHASE 3A OCEAN SUPREME Tower 3C,Tsuen Wan West,2,9300000,6,524,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
OCEAN PRIDE PHASE 3A OCEAN SUPREME Tower 5B,Tsuen Wan West,2,9200000,6,527,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
TSUEN WAN CENTRE BLOCK 14 (CHENGTU HOUSE),Tsuen King Circuit,1,3350000,43,324,TRUE,22.3789795,114.108161,47,18,298,2,117,32,13,3,91,10,0
GRAND YOHO PHASE 2 Tower 3,Yuen Long Station,3,10300000,8,723,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
KINGSWOOD VILLAS PHASE 6 MAYWOOD COURT BLOCK 2,Tin Shui Wai,3,4800000,27,544,FALSE,22.4612642,114.0061941,74,26,384,7,157,61,6,3,31,22,4
GRAND CENTRAL PHASE 1 TOWER 2,Kwun Tong,2,8800000,4,550,FALSE,22.3145027,114.2252723,47,6,779,13,209,90,28,8,91,70,0
PENINSULA EAST Tower 2,Yau Tong,3,11300000,8,870,TRUE,22.2940712,114.2345453,40,10,230,2,142,30,17,4,57,14,15
BELVEDERE GARDEN PHASE 3 Block 2,Belvedere,3,7180000,34,728,FALSE,22.371788,114.101075,47,21,206,3,126,21,15,2,60,13,0
TIN CHUNG COURT Chung Ying House (Block G),Tin Shui Wai,2,2900000,24,506,FALSE,22.4602896,113.9996066,81,33,509,10,157,75,6,5,30,26,4
THE WINGS THE WINGS TOWER 7,Tseung Kwan O,3,16800000,14,862,TRUE,22.3089111,114.2635572,43,6,394,7,197,43,10,6,34,28,0
ELEGANCE GARDENS Block 3,Tuen Mun San Hui,2,3000000,37,412,FALSE,22.4047597,113.9818867,70,17,355,4,141,45,20,1,66,27,0
TIN FU COURT Yin Fu House (Block K),Tin Shui Wai,2,3500000,24,506,FALSE,22.4653168,113.9985656,65,36,392,7,153,46,6,5,27,22,3
L'AQUATIQUE BLOCK 1,Tsing Lung Tau,3,10500000,5,907,TRUE,22.3598311,114.0401715,60,91,32,0,1,5,0,0,1,6,0
THE PAVILIA FARM PHASE 2 TOWER 5 (5A),Tai Wai,2,9000000,3,462,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
THE WATERSIDE Tower 2,Ma On Shan,3,9500000,28,779,FALSE,22.4251186,114.2281701,59,6,326,4,79,46,4,3,25,24,1
ILLUMINATION TERRACE Block 2,Tai Hang Mid-Levels,3,13000000,32,800,TRUE,22.2774193,114.1931206,20,12,540,5,181,77,28,2,85,38,10
BAYSHORE TOWERS TOWER 4,Ma On Shan,2,6000000,30,426,TRUE,22.425087,114.231718,53,0,338,5,76,44,4,4,25,25,0
TUEN MUN TOWN PLAZA Phase 1 Block 4,Tuen Mun Town Centre,2,3600000,37,392,FALSE,22.3928557,113.9764612,64,10,562,11,166,65,24,7,95,35,0
SCENEWAY GARDEN Block 1,Lam Tin,3,6790000,33,612,TRUE,22.3078459,114.2329249,41,14,568,16,198,72,25,4,78,52,0
HONG KONG GARDEN PHASE 3 BLOCK 15,Tsing Lung Tau,3,5990000,34,935,FALSE,22.3621089,114.0424972,60,91,42,0,3,4,0,0,2,5,0
Hong Ying Court,Lam Tin,2,4570000,34,443,FALSE,22.3094394,114.2386923,48,20,425,10,234,61,20,4,70,30,0
THE BLOOMSWAY The Laguna Tower 5,So Kwun Wat,2,6160000,8,584,TRUE,22.3772738,113.9882611,70,52,98,0,67,5,9,0,27,2,1
TAI HANG TERRACE Block B,Tai Hang Mid-Levels,2,9750000,50,567,TRUE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
WEALTHY GARDEN Cheong Wah Court,Tsuen Wan Town Centre,1,3580000,40,313,TRUE,22.3691307,114.1223247,43,16,885,17,234,107,32,8,135,50,0
GRAND YOHO PHASE 2 Tower 3,Yuen Long Station,2,7450000,8,538,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
ROYAL ASCOT PHASE 2 Block 11,Fo Tan,3,12000000,28,974,FALSE,22.4004282,114.2022697,49,5,169,1,76,14,7,1,23,18,0
PARK YOHO PHASE 1B PARK YOHO VENEZIA Tower 3A,Kam Tin,3,6300000,10,642,FALSE,22.4512233,114.0523086,67,42,52,0,18,5,1,0,17,3,6
NOVO LAND PHASE 2A Arreso Tower 5,Siu Hong,2,4300000,1,423,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
PEAKSVILLE BLOCK 1,Mid-Levels West,2,9500000,32,434,TRUE,22.2822352,114.147752,10,13,787,6,152,74,25,7,57,46,9
NOVO LAND Phase 1A Elverum Tower 2,Siu Hong,2,4000000,2,436,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Beneville Block 5,Siu Hong,2,3800000,21,428,TRUE,22.4121861,113.9842662,75,10,237,2,98,18,11,4,53,26,0
LOHAS PARK PHASE 6 LP6 Tower 3,Lohas Park,1,3850000,5,307,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
CENTURY GATEWAY Phase 1 Tower 5,Tuen Mun Town Centre,3,8000000,12,646,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
LOHAS PARK PHASE 6 LP6 Tower 1,Lohas Park,2,6000000,5,505,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
LOHAS PARK PHASE 6 LP6 Tower 5,Lohas Park,1,3850000,5,307,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
LOHAS PARK PHASE 5A MALIBU Tower 2A,Lohas Park,1,4580000,6,368,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
CENTURY GATEWAY Phase 2 Tower 6,Tuen Mun Town Centre,2,5000000,11,483,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Lohas Park PHASE 6 LP6 Tower 5,Lohas Park,1,4280000,5,348,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Century Gateway Phase 1 Tower 5,Tuen Mun Town Centre,3,6650000,12,646,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Novo Land Phase 1A Elverum Tower 2,Siu Hong,1,3000000,2,309,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
COO Residence,Tuen Mun Town Centre,1,3200000,6,320,TRUE,22.3908295,113.9725126,68,10,622,10,186,59,21,8,92,41,1
CENTURY GATEWAY PHASE 2 Tower 8,Tuen Mun Town Centre,1,4500000,11,379,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
TUEN MUN TOWN PLAZA PHASE 2 Block 2,Tuen Mun Town Centre,2,2500000,36,326,FALSE,22.3939813,113.9763956,61,7,548,10,176,60,20,7,99,35,0
THE BEAUMOUNT II Tower 2,Lohas Park,2,5000000,9,504,FALSE,22.297367,114.272594,47,8,64,2,67,9,0,0,6,7,0
TSEUNG KWAN O PLAZA PHASE 1 Tower 2,Tseung Kwan O,2,5720000,22,451,FALSE,22.3091002,114.2617775,44,6,404,6,200,43,10,6,36,28,0
THE METRO CITY Phase 1 Tower 1,Po Lam,2,5400000,28,420,FALSE,22.320638,114.257289,46,4,451,6,202,67,10,6,44,27,0
MANOR HILL Tower 2,Lohas Park,1,3700000,3,290,FALSE,22.2961803,114.2736406,49,11,61,2,52,7,0,0,2,7,0
TUEN MUN TOWN PLAZA PHASE 2 Block 2,Tuen Mun Town Centre,2,3200000,36,325,FALSE,22.3939813,113.9763956,61,7,548,10,176,60,20,7,99,35,0
Lohas Park PHASE 6 LP6 Tower 5,Lohas Park,1,3860000,5,306,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
CENTURY GATEWAY Phase 1 Tower 1,Tuen Mun Town Centre,4,11000000,12,858,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
CENTURY GATEWAY Phase 1 Tower 1,Tuen Mun Town Centre,2,5300000,12,487,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
NOVO LAND PHASE 2B Arreso Tower 1B,Siu Hong,1,3000000,1,306,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
NOVO LAND Phase 1B Bergen Tower 3,Siu Hong,2,3880000,2,423,FALSE,22.4109519,113.9697839,84,25,388,9,136,35,11,6,56,38,0
CENTURY GATEWAY PHASE 2 Tower 8,Tuen Mun Town Centre,2,5000000,11,474,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
LOHAS PARK Phase 4B Wings At Sea II TOWER 5A,Lohas Park,2,6130000,6,504,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Manor Hill Tower 2,Lohas Park,1,3700000,3,284,FALSE,22.2961803,114.2736406,49,11,61,2,52,7,0,0,2,7,0
Parkland Villas Block 1,Siu Hong,3,4500000,24,499,TRUE,22.4106042,113.9811225,73,7,311,2,118,20,11,4,58,30,0
PARKLAND VILLAS Block 5,Siu Hong,3,5200000,24,575,TRUE,22.4106042,113.9811225,73,7,311,2,118,20,11,4,58,30,0
VISTA PARADISO Phase 1 TOWER 11,Ma On Shan,3,8300000,27,794,FALSE,22.4195723,114.224926,56,5,315,6,81,47,5,2,30,23,1
Parkland Villas Block 9,Siu Hong,2,4100000,24,376,TRUE,22.4106042,113.9811225,73,7,311,2,118,20,11,4,58,30,0
NOVO LAND Phase 1A Elverum Tower 1,Siu Hong,2,4000000,2,424,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
OCEANIA HEIGHTS Tower 2,Tuen Mun South,2,4800000,21,457,TRUE,22.3837376,113.9718379,55,22,494,8,149,67,18,4,76,25,1
MOUNT REGENCY Phase 1 Tower 1A,Tuen Mun San Hui,2,4000000,5,414,FALSE,22.4058252,113.9815041,72,17,368,4,132,46,20,2,62,28,0
THE METRO CITY PHASE 2 Tower 7,Po Lam,2,4900000,25,363,FALSE,22.3237131,114.2548803,48,6,323,5,174,44,10,5,46,18,0
The Beaumount Phase 1 Tower 2,Lohas Park,2,5000000,12,498,TRUE,22.297367,114.272594,47,8,64,2,67,9,0,0,6,7,0
Ocean Shores Phase 1 Tower 1,Tiu Keng Leng,2,8500000,24,504,FALSE,22.3031707,114.2527951,39,5,228,6,207,10,2,2,33,18,0
PARK CENTRAL PHASE 2 Tower 1,Tseung Kwan O,3,8420000,22,674,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
LOHAS PARK PHASE 6 LP6 Tower 5,Lohas Park,1,3850000,5,307,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Mayfair By The Sea II Tower 10,Pak Shek Kok,2,10000000,10,679,TRUE,22.4313708,114.2053099,59,45,76,0,18,5,0,0,5,12,2
OCEANAIRE Tower 1A,Ma On Shan,3,9500000,14,822,TRUE,22.4151805,114.2230095,63,7,238,7,76,34,6,2,27,14,1
PARK CENTRAL PHASE 2 Tower 12,Tseung Kwan O,2,6000000,22,467,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
The Pavilia Farm Phase 2 Tower 6 (6B),Tai Wai,3,19000000,3,866,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
NOVO LAND PHASE 2B Arreso Tower 2,Siu Hong,1,3300000,1,298,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Grand Victoria Phase 3 Tower 1 (1A),Nam Cheong Station,3,31000000,2,929,FALSE,22.327493,114.1488089,27,17,305,5,217,15,20,3,139,20,3
BELVEDERE GARDEN PHASE 2 Block 8,Belvedere,3,4800000,35,572,FALSE,22.3713366,114.0991809,52,24,159,3,112,15,9,2,45,7,0
TIERRA VERDE PHASE 1 TOWER 6,Tsing Yi,3,9300000,26,670,FALSE,22.3582411,114.1071474,30,3,483,9,182,73,22,3,67,25,0
Nerine Cove Block 1,Tuen Mun South,2,4980000,25,522,FALSE,22.3816268,113.9712444,61,27,456,8,138,63,13,5,71,23,1
CHELSEA HEIGHTS Phase 2 Block 7,Tuen Mun North,3,6800000,25,710,FALSE,22.4004166,113.9736472,69,10,608,14,196,75,20,8,95,40,0
GRAND YOHO PHASE 2 Tower 8,Yuen Long Station,2,8000000,8,529,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
MOUNT REGENCY Phase 1 Tower 1A,Tuen Mun San Hui,1,3880000,5,387,FALSE,22.4058252,113.9815041,72,17,368,4,132,46,20,2,62,28,0
TAI HING GARDENS PHASE 1 Block 3,Tuen Mun North,2,3000000,35,428,FALSE,22.3934085,113.9762753,65,11,549,10,167,62,20,7,96,35,0
TUEN MUN TOWN PLAZA PHASE 2 Block 1,Tuen Mun Town Centre,2,3300000,36,326,FALSE,22.3941428,113.9761245,60,7,563,10,176,63,20,7,99,35,0
TAI HING GARDENS Phase 2 Tower 3,Tuen Mun North,2,3900000,31,447,FALSE,22.3991335,113.9712486,69,12,612,14,196,81,20,8,102,44,0
MOUNT REGENCY PHASE 1 Tower 1B,Tuen Mun San Hui,1,3380000,5,306,FALSE,22.4058252,113.9815041,72,17,368,4,132,46,20,2,62,28,0
SUNSHINE CITY PHASE 3 Block Q,Ma On Shan,2,4700000,31,337,FALSE,22.4241643,114.2318055,61,10,361,5,79,50,4,4,25,27,0
THE SHERWOOD Tower 12,Lam Tei,2,3000000,20,362,TRUE,22.4192658,113.985439,81,24,181,1,54,21,6,2,32,11,0
GOODVIEW GARDEN Tower 4,Tuen Mun South,2,3000000,35,341,TRUE,22.3833847,113.9729816,57,24,488,7,145,68,18,5,76,27,1
THE TREND PLAZA Block E,Tuen Mun Town Centre,1,2800000,37,272,TRUE,22.3931642,113.9757613,65,8,559,10,167,60,24,7,96,37,0
HONG LAI GARDEN Block 1,Tuen Mun Town Centre,2,3300000,36,362,TRUE,22.3983515,113.9749511,74,7,588,11,202,74,20,8,104,38,0
CENTURY GATEWAY Phase 1 Tower 5,Tuen Mun Town Centre,1,5000000,12,374,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
SIU HONG COURT Siu Lok House (Block P),Siu Hong,2,3280000,42,434,FALSE,22.4119605,113.9770992,72,14,367,3,125,33,11,3,58,34,0
THE TREND PLAZA Block E,Tuen Mun Town Centre,2,3000000,37,325,TRUE,22.3931642,113.9757613,65,8,559,10,167,60,24,7,96,37,0
HONG KONG GARDEN PHASE 3 Block 14,Tsing Lung Tau,3,5500000,36,707,FALSE,22.3621089,114.0424972,60,91,42,0,3,4,0,0,2,5,0
PARK CENTRAL Phase 1 TOWER 9,Tseung Kwan O,2,6500000,23,384,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
TUEN MUN TOWN PLAZA PHASE 2 Block 1,Tuen Mun Town Centre,1,3140000,36,335,FALSE,22.3941428,113.9761245,60,7,563,10,176,63,20,7,99,35,0
SIU HONG COURT Siu Wing House (Block H),Siu Hong,2,3080000,42,429,FALSE,22.4116629,113.9769026,73,15,389,5,125,36,11,3,58,36,0
THE SEA CREST Tower 1,Tuen Mun South,2,3980000,23,434,FALSE,22.3822332,113.9724925,59,27,469,8,140,65,18,4,75,24,1
REGENCY BAY Phase 1 Tower 2,Tuen Mun South,1,3880000,4,314,FALSE,22.3814816,113.9706456,62,25,458,10,138,60,13,7,70,24,1
COO Residence,Tuen Mun Town Centre,1,4000000,6,320,TRUE,22.3908295,113.9725126,68,10,622,10,186,59,21,8,92,41,1
THE AURORA TOWER 3,Tsuen Wan West,1,6200000,5,284,TRUE,22.367227,114.1152665,46,11,736,10,235,79,21,5,130,57,0
OCEAN SHORES PHASE 2 Tower 9,Tiu Keng Leng,2,7000000,23,498,FALSE,22.3031707,114.2527951,39,5,228,6,207,10,2,2,33,18,0
THE HARBOURSIDE TOWER 2,Kowloon Station,2,18600000,22,755,FALSE,22.3030998,114.161574,17,3,343,1,104,27,24,3,96,35,3
NERINE COVE Block 5,Tuen Mun South,2,4800000,25,524,FALSE,22.3830043,113.9714742,59,24,464,8,144,65,18,4,75,25,1
LOHAS PARK Phase 5A Malibu TOWER 1B,Lohas Park,2,7380000,6,540,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
LOHAS PARK Phase 3A Hemera Amber (Tower 3),Lohas Park,4,10000000,10,953,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
LOHAS PARK PHASE 5A MALIBU TOWER 1B,Lohas Park,2,6000000,6,459,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Island Crest Tower 1,Sai Ying Pun,1,8600000,15,374,TRUE,22.2863552,114.1431557,14,3,643,8,141,77,24,8,58,28,9
GRAND YOHO PHASE 1 Tower 10,Yuen Long Station,2,7300000,8,519,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
THE WINGS II Tower 1A,Tseung Kwan O,2,8280000,11,550,FALSE,22.3062586,114.2609203,42,5,332,8,185,30,7,6,32,27,0
CITY POINT Block 6,Tsuen Wan West,2,7300000,11,488,TRUE,22.3641264,114.1149618,43,14,641,6,258,68,30,3,115,47,0
CENTURY GATEWAY Phase 2 Tower 7,Tuen Mun Town Centre,3,8000000,11,663,FALSE,22.3908295,113.9725126,68,10,622,10,186,59,21,8,92,41,1
SEAVIEW CRESCENT BLOCK 1,Tung Chung Town Centre,2,6600000,23,521,FALSE,22.2925643,113.9415432,56,12,186,2,58,17,8,3,8,13,0
MEI FOO SUN CHUEN PHASE 3 84-86 BROADWAY,Mei Foo,2,5300000,52,544,FALSE,22.3353994,114.1408698,34,8,393,3,145,35,10,1,60,40,0
Convention Plaza Apartments,Wan Chai,2,26800000,35,978,FALSE,22.2807473,114.1720816,11,8,746,6,104,67,30,5,64,43,12
The Parkside Tower 2A,Tseung Kwan O,2,7790000,9,510,TRUE,22.3052188,114.260782,44,6,316,8,182,28,7,6,31,26,0
LOHAS PARK PHASE 6 LP6 Tower 1,Lohas Park,2,6500000,5,522,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
LOHAS PARK PHASE 6 LP6 Tower 1,Lohas Park,3,11600000,5,905,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
LA CITE NOBLE BLOCK 4,Hang Hau,2,5400000,26,434,TRUE,22.3143993,114.2662381,44,4,444,7,199,53,10,6,41,28,0
MOUNT REGENCY PHASE 1 Tower 1B,Tuen Mun San Hui,2,4700000,5,468,FALSE,22.4058252,113.9815041,72,17,368,4,132,46,20,2,62,28,0
CHELSEA HEIGHTS Phase 2 Block 6,Tuen Mun North,2,4580000,25,525,FALSE,22.4004793,113.974045,69,10,597,13,196,71,20,8,95,40,0
SEA VIEW MANSION,Sheung Wan,1,4800000,46,302,FALSE,22.288221,114.1461184,16,11,672,6,139,70,24,7,56,35,9
YOHO TOWN PHASE 2 YOHO MIDTOWN Block M8,Yuen Long Station,4,12600000,15,988,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
MANOR HILL Tower 2,Lohas Park,1,3700000,3,284,FALSE,22.2961803,114.2736406,49,11,61,2,52,7,0,0,2,7,0
LOHAS PARK PHASE 6 LP6 TOWER 5,Lohas Park,1,4080000,5,305,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
CITY POINT Block 3,Tsuen Wan West,3,9600000,11,695,TRUE,22.3646715,114.1142676,46,12,645,6,253,66,30,4,116,48,0
CENTURY LINK PHASE 2 Tower 1B,Tung Chung Town Centre,3,7550000,9,642,FALSE,22.29456,113.949751,60,21,149,2,36,10,8,4,4,9,1
THE SHERWOOD Tower 5,Lam Tei,2,3360000,20,396,TRUE,22.4192658,113.985439,81,24,181,1,54,21,6,2,32,11,0
CENTURY GATEWAY PHASE 1 Tower 5,Tuen Mun Town Centre,2,4980000,12,475,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
KAM ON COURT PO ON HOUSE (BLOCK C),Heng On,2,4180000,37,401,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
Parkland Villas Block 2,Siu Hong,3,5200000,24,499,TRUE,22.4106042,113.9811225,73,7,311,2,118,20,11,4,58,30,0
CITY ONE SHATIN SITE 1 Block 3,City One Shatin,2,4300000,44,327,FALSE,22.3871137,114.2032087,48,12,402,6,138,58,15,5,63,25,1
Kwai Fong Terrace Block 3,Ha Kwai Chung,2,4200000,41,397,FALSE,22.3559264,114.1285274,34,4,565,6,186,61,26,7,82,54,0
THE METRO CITY PHASE 2 TOWER 3,Po Lam,2,4900000,25,363,FALSE,22.3231863,114.2577924,42,1,393,5,169,59,10,5,42,19,0
CARIBBEAN COAST PHASE 1 MONTEREY COVE Tower 2,Tung Chung Town Centre,2,4980000,22,495,FALSE,22.2937952,113.9516083,61,22,114,1,32,5,8,1,3,6,1
THE METRO CITY PHASE 2 Tower 7,Po Lam,2,5000000,25,363,FALSE,22.3237131,114.2548803,48,6,323,5,174,44,10,5,46,18,0
CARIBBEAN COAST Phase 1 Monterey Cove Tower 5,Tung Chung Town Centre,2,5300000,22,518,FALSE,22.2932027,113.9511743,62,22,124,1,36,6,8,2,5,6,1
